StudNo,CNo,Semester,AcadYear
2017-10026,877,2nd,2015-2016
2017-10097,808,2nd,2015-2016
2017-10545,1140,2nd,2016-2017
2017-10699,1870,2nd,2015-2016
2017-10693,1999,1st,2016-2017
2017-10380,539,2nd,2016-2017
2017-10850,1667,2nd,2016-2017
2017-10249,1039,1st,2016-2017
2017-10406,1002,1st,2017-2018
2017-10791,1069,2nd,2017-2018
2017-10244,356,2nd,2017-2018
2017-10344,840,1st,2015-2016
2017-10760,1786,1st,2015-2016
2017-10623,356,2nd,2016-2017
2017-10188,733,2nd,2014-2015
2017-10551,1980,2nd,2015-2016
2017-10675,949,1st,2014-2015
2017-10835,1285,2nd,2015-2016
2017-10422,648,2nd,2016-2017
2017-10443,1893,2nd,2014-2015
2017-10088,809,1st,2016-2017
2017-10978,1919,2nd,2014-2015
2017-10745,895,2nd,2015-2016
2017-10162,735,2nd,2014-2015
2017-10369,1888,2nd,2014-2015
2017-10923,1459,1st,2017-2018
2017-10627,21,2nd,2014-2015
2017-10791,677,1st,2017-2018
2017-10408,530,2nd,2017-2018
2017-10645,1812,1st,2014-2015
2017-10552,1386,1st,2014-2015
2017-10355,547,2nd,2017-2018
2017-10274,869,1st,2016-2017
2017-10844,109,2nd,2015-2016
2017-10463,1830,2nd,2016-2017
2017-10095,1215,2nd,2017-2018
2017-10983,685,1st,2014-2015
2017-10368,530,1st,2016-2017
2017-10011,815,1st,2015-2016
2017-10707,654,2nd,2015-2016
2017-10717,1312,2nd,2014-2015
2017-10448,1598,1st,2015-2016
2017-10399,1170,2nd,2017-2018
2017-10899,1808,2nd,2014-2015
2017-10142,1795,1st,2015-2016
2017-10568,154,1st,2014-2015
2017-10913,817,1st,2016-2017
2017-10728,202,1st,2016-2017
2017-10951,647,1st,2015-2016
2017-10932,714,1st,2014-2015
2017-10927,1466,1st,2015-2016
2017-10778,1012,2nd,2015-2016
2017-10339,1878,1st,2016-2017
2017-10467,221,1st,2015-2016
2017-10291,1958,1st,2017-2018
2017-10621,1280,2nd,2014-2015
2017-10113,204,2nd,2017-2018
2017-10167,1328,1st,2015-2016
2017-10859,1559,1st,2014-2015
2017-10835,894,2nd,2017-2018
2017-10701,383,2nd,2014-2015
2017-10432,1213,1st,2016-2017
2017-10775,901,2nd,2014-2015
2017-10049,1962,1st,2015-2016
2017-10587,1410,1st,2015-2016
2017-10922,646,1st,2015-2016
2017-10103,1101,2nd,2016-2017
2017-10014,168,2nd,2017-2018
2017-10681,1510,1st,2014-2015
2017-10409,1669,2nd,2016-2017
2017-10737,1262,1st,2014-2015
2017-10392,1780,2nd,2015-2016
2017-10272,1590,1st,2015-2016
2017-10190,899,1st,2017-2018
2017-10129,1153,1st,2016-2017
2017-10138,1369,1st,2014-2015
2017-10752,1128,2nd,2014-2015
2017-10334,751,2nd,2016-2017
2017-10842,921,1st,2016-2017
2017-10292,1608,2nd,2015-2016
2017-10161,1292,2nd,2015-2016
2017-10841,517,2nd,2017-2018
2017-10854,702,2nd,2016-2017
2017-10561,352,2nd,2016-2017
2017-10391,708,2nd,2014-2015
2017-10905,128,2nd,2015-2016
2017-10027,1360,1st,2015-2016
2017-10207,980,1st,2016-2017
2017-10342,980,1st,2016-2017
2017-10791,363,1st,2017-2018
2017-10152,244,2nd,2016-2017
2017-10414,1407,1st,2017-2018
2017-10121,158,2nd,2017-2018
2017-10777,573,1st,2014-2015
2017-10308,1482,1st,2016-2017
2017-10487,1321,1st,2017-2018
2017-10894,689,1st,2015-2016
2017-10425,1488,1st,2016-2017
2017-10525,1293,1st,2017-2018
2017-10246,754,2nd,2016-2017
2017-10479,522,2nd,2017-2018
2017-10463,4,1st,2017-2018
2017-10651,1860,2nd,2017-2018
2017-10305,695,2nd,2016-2017
2017-10651,1825,1st,2015-2016
2017-10370,1697,2nd,2017-2018
2017-10883,1143,1st,2016-2017
2017-10259,702,2nd,2014-2015
2017-10453,912,1st,2015-2016
2017-10300,1503,2nd,2015-2016
2017-10727,853,2nd,2014-2015
2017-10221,71,1st,2017-2018
2017-10511,719,2nd,2014-2015
2017-10874,439,1st,2016-2017
2017-10491,1940,2nd,2015-2016
2017-10768,1572,2nd,2014-2015
2017-10442,1850,1st,2016-2017
2017-10978,1858,2nd,2016-2017
2017-10080,1425,1st,2014-2015
2017-10033,1163,2nd,2016-2017
2017-10180,1311,2nd,2014-2015
2017-10098,557,1st,2015-2016
2017-10285,1121,1st,2017-2018
2017-10497,1439,1st,2016-2017
2017-10100,1982,1st,2014-2015
2017-10259,1356,1st,2016-2017
2017-10759,272,1st,2014-2015
2017-10915,1139,2nd,2017-2018
2017-10618,1149,2nd,2016-2017
2017-10630,403,1st,2015-2016
2017-10917,624,2nd,2014-2015
2017-10753,1493,1st,2016-2017
2017-10175,1028,2nd,2017-2018
2017-10026,700,2nd,2017-2018
2017-10465,727,1st,2015-2016
2017-10399,1081,2nd,2017-2018
2017-10768,1394,1st,2017-2018
2017-10825,306,2nd,2017-2018
2017-10204,544,2nd,2016-2017
2017-10757,946,1st,2017-2018
2017-10262,883,1st,2016-2017
2017-10742,1719,2nd,2016-2017
2017-10459,305,1st,2014-2015
2017-10441,763,1st,2017-2018
2017-10290,507,2nd,2014-2015
2017-10828,1418,1st,2015-2016
2017-10154,1643,1st,2017-2018
2017-10823,1335,2nd,2017-2018
2017-10193,367,2nd,2015-2016
2017-10336,979,1st,2016-2017
2017-10056,1902,2nd,2015-2016
2017-10008,1698,2nd,2014-2015
2017-10043,708,2nd,2015-2016
2017-10313,1153,2nd,2017-2018
2017-10199,1511,2nd,2017-2018
2017-10771,718,1st,2016-2017
2017-10050,1741,2nd,2016-2017
2017-10513,197,2nd,2016-2017
2017-10100,753,1st,2017-2018
2017-10257,1280,2nd,2014-2015
2017-10026,1647,2nd,2014-2015
2017-10098,637,1st,2017-2018
2017-10461,1228,1st,2017-2018
2017-10060,613,2nd,2015-2016
2017-10252,324,1st,2017-2018
2017-10369,1919,1st,2014-2015
2017-10831,1918,1st,2016-2017
2017-10690,1405,1st,2016-2017
2017-10194,536,2nd,2015-2016
2017-10053,26,1st,2016-2017
2017-10296,1546,1st,2015-2016
2017-10232,1137,1st,2014-2015
2017-10169,942,2nd,2015-2016
2017-10711,1543,1st,2015-2016
2017-10135,1764,2nd,2016-2017
2017-10464,1674,1st,2016-2017
2017-10079,307,1st,2014-2015
2017-10588,1539,1st,2014-2015
2017-10047,163,2nd,2017-2018
2017-10700,1219,2nd,2017-2018
2017-10525,996,1st,2016-2017
2017-10412,1247,1st,2016-2017
2017-10919,124,2nd,2015-2016
2017-10728,1620,2nd,2017-2018
2017-10775,1840,1st,2016-2017
2017-10822,1803,2nd,2015-2016
2017-10178,171,1st,2015-2016
2017-10195,1352,1st,2016-2017
2017-10464,466,2nd,2015-2016
2017-10464,1888,1st,2014-2015
2017-10113,169,1st,2015-2016
2017-10738,1099,1st,2015-2016
2017-10753,1344,2nd,2017-2018
2017-10143,1177,2nd,2017-2018
2017-10492,1542,2nd,2017-2018
2017-10507,268,1st,2014-2015
2017-10723,1567,2nd,2016-2017
2017-10746,1,2nd,2016-2017
2017-10098,683,2nd,2017-2018
2017-10803,1061,2nd,2016-2017
2017-10442,1349,2nd,2015-2016
2017-10308,992,2nd,2016-2017
2017-10429,143,1st,2015-2016
2017-10043,546,2nd,2014-2015
2017-10417,978,2nd,2014-2015
2017-10715,1886,1st,2015-2016
2017-10675,1913,1st,2016-2017
2017-10416,1805,2nd,2015-2016
2017-10026,283,2nd,2017-2018
2017-10857,559,1st,2014-2015
2017-10996,97,2nd,2016-2017
2017-10709,1407,1st,2016-2017
2017-10848,72,1st,2016-2017
2017-10525,1598,1st,2016-2017
2017-10122,6,2nd,2014-2015
2017-10843,1095,2nd,2017-2018
2017-10986,963,2nd,2015-2016
2017-10650,7,2nd,2015-2016
2017-10616,1910,1st,2017-2018
2017-10451,1641,2nd,2017-2018
2017-10257,832,2nd,2016-2017
2017-10533,318,2nd,2015-2016
2017-10160,27,1st,2017-2018
2017-10077,937,1st,2015-2016
2017-10639,161,2nd,2016-2017
2017-10608,1864,2nd,2016-2017
2017-10093,300,1st,2017-2018
2017-10784,549,1st,2015-2016
2017-10136,1732,1st,2017-2018
2017-10854,1368,2nd,2017-2018
2017-10095,1351,1st,2014-2015
2017-10977,1603,2nd,2014-2015
2017-10409,331,1st,2017-2018
2017-10442,1402,1st,2016-2017
2017-10859,992,1st,2017-2018
2017-10206,1881,2nd,2016-2017
2017-10283,377,2nd,2016-2017
2017-10221,743,2nd,2014-2015
2017-10064,1198,2nd,2015-2016
2017-10805,726,1st,2016-2017
2017-10289,1987,2nd,2016-2017
2017-10310,132,1st,2017-2018
2017-10253,410,1st,2014-2015
2017-10823,8,2nd,2016-2017
2017-10455,476,1st,2015-2016
2017-10722,1228,1st,2014-2015
2017-10736,1716,2nd,2017-2018
2017-10856,96,2nd,2014-2015
2017-10943,155,1st,2016-2017
2017-10847,718,1st,2015-2016
2017-10216,669,2nd,2015-2016
2017-10091,1413,2nd,2016-2017
2017-10873,1907,2nd,2014-2015
2017-10034,1595,2nd,2017-2018
2017-10094,798,1st,2015-2016
2017-10869,1467,2nd,2016-2017
2017-10218,799,1st,2017-2018
2017-10934,1647,1st,2016-2017
2017-10206,1949,1st,2016-2017
2017-10663,1823,1st,2014-2015
2017-10782,892,2nd,2017-2018
2017-10360,1055,1st,2017-2018
2017-10042,102,1st,2014-2015
2017-10916,685,2nd,2014-2015
2017-10540,458,2nd,2015-2016
2017-10950,1460,1st,2015-2016
2017-10531,1539,1st,2015-2016
2017-10317,232,2nd,2014-2015
2017-10474,1910,1st,2017-2018
2017-10838,1542,2nd,2017-2018
2017-10128,167,2nd,2017-2018
2017-10419,763,1st,2014-2015
2017-10743,1455,1st,2014-2015
2017-10346,522,2nd,2015-2016
2017-10544,1690,1st,2014-2015
2017-10679,160,2nd,2014-2015
2017-10678,1583,1st,2016-2017
2017-10249,580,1st,2016-2017
2017-10855,1248,1st,2016-2017
2017-10378,1222,1st,2017-2018
2017-10988,1020,2nd,2015-2016
2017-10565,1586,1st,2016-2017
2017-10339,1944,2nd,2014-2015
2017-10455,1069,1st,2014-2015
2017-10544,1818,1st,2015-2016
2017-10811,214,1st,2014-2015
2017-10162,1139,1st,2016-2017
2017-10257,1927,2nd,2015-2016
2017-10794,1873,2nd,2015-2016
2017-10109,298,2nd,2017-2018
2017-10181,383,2nd,2014-2015
2017-10296,1782,1st,2016-2017
2017-10330,1941,1st,2015-2016
2017-10751,1923,2nd,2016-2017
2017-10417,869,2nd,2014-2015
2017-10269,497,1st,2015-2016
2017-10271,1306,1st,2017-2018
2017-10308,1900,1st,2015-2016
2017-10108,1948,2nd,2017-2018
2017-10100,1180,1st,2016-2017
2017-10704,1125,1st,2017-2018
2017-10912,1698,1st,2014-2015
2017-10502,1095,1st,2017-2018
2017-10201,1859,2nd,2015-2016
2017-10824,1275,2nd,2014-2015
2017-10973,1299,1st,2016-2017
2017-10731,871,1st,2017-2018
2017-10401,208,1st,2015-2016
2017-10063,44,2nd,2017-2018
2017-10363,859,2nd,2017-2018
2017-10211,1906,2nd,2015-2016
2017-10288,890,1st,2017-2018
2017-10453,1667,2nd,2015-2016
2017-10878,68,2nd,2015-2016
2017-10715,1946,2nd,2017-2018
2017-10832,1049,2nd,2016-2017
2017-10020,672,2nd,2017-2018
2017-10856,578,2nd,2017-2018
2017-10385,568,1st,2017-2018
2017-10709,590,1st,2016-2017
2017-10584,1376,2nd,2015-2016
2017-10874,1649,2nd,2017-2018
2017-10374,399,1st,2015-2016
2017-10742,1646,1st,2014-2015
2017-10933,1105,2nd,2015-2016
2017-10248,1742,1st,2014-2015
2017-10580,379,2nd,2017-2018
2017-10470,1558,2nd,2014-2015
2017-10728,499,1st,2015-2016
2017-10303,882,1st,2017-2018
2017-10262,298,1st,2017-2018
2017-10235,1825,1st,2015-2016
2017-10846,954,2nd,2016-2017
2017-10702,927,2nd,2015-2016
2017-10315,899,2nd,2017-2018
2017-10133,1990,2nd,2015-2016
2017-10309,947,2nd,2016-2017
2017-10397,1796,2nd,2015-2016
2017-10141,1586,1st,2017-2018
2017-10068,807,2nd,2017-2018
2017-10673,495,2nd,2015-2016
2017-10588,1415,1st,2015-2016
2017-10531,973,2nd,2016-2017
2017-10315,157,2nd,2014-2015
2017-10493,1703,1st,2015-2016
2017-10313,371,1st,2015-2016
2017-10741,1117,1st,2015-2016
2017-10893,677,2nd,2017-2018
2017-10106,762,1st,2014-2015
2017-10801,184,2nd,2017-2018
2017-10724,407,2nd,2015-2016
2017-10701,1569,1st,2016-2017
2017-10613,45,1st,2016-2017
2017-10787,751,1st,2017-2018
2017-10744,1637,1st,2017-2018
2017-10227,93,2nd,2017-2018
2017-10053,359,2nd,2016-2017
2017-10130,1255,2nd,2016-2017
2017-10424,973,2nd,2017-2018
2017-10682,1630,2nd,2017-2018
2017-10940,1904,1st,2017-2018
2017-10407,105,2nd,2015-2016
2017-10804,1660,2nd,2015-2016
2017-10036,678,2nd,2015-2016
2017-10762,1861,1st,2015-2016
2017-10868,219,2nd,2015-2016
2017-10497,927,1st,2017-2018
2017-10774,1092,2nd,2015-2016
2017-10011,1893,1st,2016-2017
2017-10288,764,1st,2017-2018
2017-10410,1703,2nd,2016-2017
2017-10927,310,1st,2014-2015
2017-10791,452,2nd,2017-2018
2017-10411,447,1st,2015-2016
2017-10714,177,2nd,2014-2015
2017-10009,1854,1st,2017-2018
2017-10965,578,2nd,2015-2016
2017-10420,167,2nd,2015-2016
2017-10859,1928,2nd,2015-2016
2017-10773,1295,1st,2017-2018
2017-10581,775,1st,2015-2016
2017-10764,370,1st,2015-2016
2017-10092,814,2nd,2014-2015
2017-10388,1523,2nd,2017-2018
2017-10063,1397,2nd,2014-2015
2017-10454,1204,1st,2017-2018
2017-10867,1175,1st,2015-2016
2017-10481,1607,1st,2016-2017
2017-10296,208,2nd,2017-2018
2017-10456,1887,2nd,2017-2018
2017-10369,336,1st,2016-2017
2017-10794,984,2nd,2014-2015
2017-10949,1123,2nd,2014-2015
2017-10582,1319,2nd,2016-2017
2017-10041,1958,2nd,2015-2016
2017-10647,1373,1st,2014-2015
2017-10015,986,1st,2017-2018
2017-10492,948,1st,2015-2016
2017-10676,392,2nd,2016-2017
2017-10343,1159,2nd,2016-2017
2017-10263,594,1st,2017-2018
2017-10752,10,2nd,2016-2017
2017-10310,1826,2nd,2015-2016
2017-10433,1078,2nd,2017-2018
2017-10739,1392,2nd,2016-2017
2017-10705,1117,1st,2015-2016
2017-10297,1232,2nd,2017-2018
2017-10265,1150,2nd,2014-2015
2017-10139,18,1st,2017-2018
2017-10439,23,1st,2014-2015
2017-10657,1346,1st,2015-2016
2017-10400,1563,2nd,2017-2018
2017-10898,367,1st,2015-2016
2017-10380,1324,2nd,2016-2017
2017-10497,1276,2nd,2017-2018
2017-10220,1589,2nd,2017-2018
2017-10526,1526,2nd,2015-2016
2017-10811,475,1st,2017-2018
2017-10988,632,2nd,2016-2017
2017-10204,1419,2nd,2014-2015
2017-10507,24,1st,2016-2017
2017-10121,1688,2nd,2014-2015
2017-10251,1356,1st,2014-2015
2017-10494,1086,1st,2014-2015
2017-10375,581,2nd,2016-2017
2017-10231,97,2nd,2017-2018
2017-10514,761,2nd,2015-2016
2017-10047,493,2nd,2015-2016
2017-10131,962,1st,2014-2015
2017-10603,1130,2nd,2015-2016
2017-10167,772,1st,2017-2018
2017-10803,819,1st,2016-2017
2017-10234,1546,1st,2014-2015
2017-10411,63,2nd,2016-2017
2017-10001,66,1st,2017-2018
2017-10343,1852,2nd,2015-2016
2017-10667,1121,1st,2015-2016
2017-10625,1498,2nd,2017-2018
2017-10081,1268,1st,2016-2017
2017-10876,1464,2nd,2014-2015
2017-10227,521,2nd,2014-2015
2017-10490,23,2nd,2016-2017
2017-10442,1832,1st,2014-2015
2017-10696,1546,1st,2014-2015
2017-10118,1217,1st,2016-2017
2017-10478,1110,1st,2016-2017
2017-10643,1116,1st,2017-2018
2017-10244,1137,1st,2015-2016
2017-10288,1668,2nd,2017-2018
2017-10554,1288,1st,2015-2016
2017-10827,736,2nd,2014-2015
2017-10062,1078,2nd,2016-2017
2017-10059,1177,1st,2016-2017
2017-10601,1215,2nd,2015-2016
2017-10554,742,2nd,2016-2017
2017-10195,981,2nd,2017-2018
2017-10230,1567,1st,2015-2016
2017-10636,1118,2nd,2015-2016
2017-10100,209,1st,2015-2016
2017-10495,738,1st,2017-2018
2017-10501,1228,2nd,2016-2017
2017-10294,1396,2nd,2015-2016
2017-10758,510,1st,2016-2017
2017-10439,1028,1st,2017-2018
2017-10518,1310,1st,2017-2018
2017-10012,1564,2nd,2017-2018
2017-10619,1982,1st,2015-2016
2017-10999,1430,1st,2016-2017
2017-10998,947,2nd,2016-2017
2017-10776,712,2nd,2017-2018
2017-10126,1715,2nd,2015-2016
2017-10762,1951,1st,2016-2017
2017-10515,728,1st,2014-2015
2017-10192,955,2nd,2017-2018
2017-10856,1742,2nd,2014-2015
2017-10563,641,1st,2016-2017
2017-10494,865,2nd,2015-2016
2017-10873,792,1st,2014-2015
2017-10865,934,1st,2017-2018
2017-10865,1256,1st,2014-2015
2017-10932,1857,1st,2016-2017
2017-10520,243,1st,2017-2018
2017-10877,1097,2nd,2017-2018
2017-10743,820,1st,2017-2018
2017-10126,936,2nd,2016-2017
2017-10609,258,2nd,2014-2015
2017-10808,1028,2nd,2017-2018
2017-10623,1601,2nd,2016-2017
2017-10095,1188,2nd,2016-2017
2017-10610,21,1st,2016-2017
2017-10881,480,2nd,2015-2016
2017-10229,1557,2nd,2014-2015
2017-10357,1904,1st,2014-2015
2017-10949,1254,1st,2017-2018
2017-10217,720,1st,2015-2016
2017-10083,1150,1st,2017-2018
2017-10602,1516,2nd,2017-2018
2017-10314,486,2nd,2017-2018
2017-10770,279,1st,2015-2016
2017-10424,395,1st,2014-2015
2017-10527,426,1st,2016-2017
2017-10776,375,1st,2017-2018
2017-10257,1261,2nd,2014-2015
2017-10519,1158,2nd,2015-2016
2017-10487,1166,1st,2014-2015
2017-10464,794,2nd,2017-2018
2017-10002,1297,1st,2014-2015
2017-10690,557,1st,2017-2018
2017-10580,918,2nd,2015-2016
2017-10081,1634,1st,2014-2015
2017-10943,1611,1st,2014-2015
2017-10267,1129,2nd,2016-2017
2017-10477,1521,1st,2017-2018
2017-10082,1415,2nd,2017-2018
2017-10804,138,2nd,2016-2017
2017-10650,1987,1st,2015-2016
2017-10818,1981,2nd,2015-2016
2017-10128,1462,2nd,2017-2018
2017-10437,1499,2nd,2015-2016
2017-10380,484,2nd,2014-2015
2017-10478,1463,2nd,2014-2015
2017-10793,1317,1st,2016-2017
2017-10408,180,2nd,2015-2016
2017-10394,661,1st,2015-2016
2017-10946,1661,2nd,2015-2016
2017-10486,829,1st,2014-2015
2017-10974,793,2nd,2017-2018
2017-10718,435,1st,2014-2015
2017-10214,816,1st,2014-2015
2017-10357,1329,2nd,2014-2015
2017-10557,185,2nd,2016-2017
2017-10204,418,1st,2017-2018
2017-10572,430,1st,2014-2015
2017-10744,723,1st,2017-2018
2017-10947,1144,1st,2014-2015
2017-10626,171,2nd,2016-2017
2017-10354,1995,2nd,2017-2018
2017-10100,1802,1st,2014-2015
2017-10802,1625,1st,2014-2015
2017-10104,1199,2nd,2016-2017
2017-10959,416,2nd,2016-2017
2017-10488,1592,1st,2017-2018
2017-10295,184,2nd,2016-2017
2017-10163,1063,2nd,2014-2015
2017-10709,1830,2nd,2015-2016
2017-10137,1446,2nd,2016-2017
2017-10227,933,2nd,2014-2015
2017-10893,239,2nd,2015-2016
2017-10266,448,1st,2014-2015
2017-10078,1006,2nd,2017-2018
2017-10716,652,2nd,2015-2016
2017-10733,1536,1st,2015-2016
2017-10806,1747,2nd,2015-2016
2017-10869,1146,2nd,2016-2017
2017-10191,974,1st,2016-2017
2017-10097,262,2nd,2017-2018
2017-10381,1999,1st,2015-2016
2017-10966,1532,1st,2016-2017
2017-10877,988,1st,2016-2017
2017-10026,391,2nd,2014-2015
2017-10686,459,1st,2017-2018
2017-10531,1610,2nd,2015-2016
2017-10467,1062,1st,2016-2017
2017-10240,244,2nd,2014-2015
2017-10912,1929,2nd,2015-2016
2017-10326,405,1st,2016-2017
2017-10735,1063,1st,2017-2018
2017-10569,181,1st,2014-2015
2017-10078,444,2nd,2014-2015
2017-10589,516,1st,2015-2016
2017-10670,1709,1st,2016-2017
2017-10195,991,1st,2015-2016
2017-10774,35,1st,2015-2016
2017-10406,1183,1st,2015-2016
2017-10501,1029,1st,2015-2016
2017-10313,1721,1st,2017-2018
2017-10713,1664,2nd,2014-2015
2017-10836,1042,2nd,2014-2015
2017-10741,1765,1st,2016-2017
2017-10124,216,1st,2016-2017
2017-10013,8,1st,2015-2016
2017-10724,1678,2nd,2014-2015
2017-10001,1449,1st,2016-2017
2017-10519,804,1st,2016-2017
2017-10459,611,2nd,2014-2015
2017-10797,135,2nd,2015-2016
2017-10168,298,2nd,2017-2018
2017-10349,434,2nd,2015-2016
2017-10284,193,2nd,2017-2018
2017-10631,1163,2nd,2016-2017
2017-10027,449,1st,2014-2015
2017-10788,712,1st,2016-2017
2017-20807,231,1st,2014-2015
2017-20340,468,1st,2016-2017
2017-20581,182,2nd,2015-2016
2017-20417,1506,1st,2015-2016
2017-20037,1951,1st,2017-2018
2017-20716,882,2nd,2014-2015
2017-20260,1585,1st,2015-2016
2017-20581,1442,2nd,2017-2018
2017-20406,1682,1st,2014-2015
2017-20704,4,2nd,2016-2017
2017-20404,575,2nd,2016-2017
2017-20676,1395,2nd,2016-2017
2017-20285,490,2nd,2015-2016
2017-20129,313,1st,2015-2016
2017-20150,1112,2nd,2015-2016
2017-20010,610,1st,2017-2018
2017-20765,238,1st,2017-2018
2017-20617,1968,2nd,2017-2018
2017-20714,1686,2nd,2015-2016
2017-20890,454,2nd,2015-2016
2017-20981,1670,2nd,2016-2017
2017-20478,1609,2nd,2016-2017
2017-20175,399,2nd,2015-2016
2017-20333,657,1st,2016-2017
2017-20198,1328,2nd,2015-2016
2017-20347,1936,1st,2015-2016
2017-20551,27,1st,2017-2018
2017-20412,159,1st,2016-2017
2017-20496,1082,2nd,2016-2017
2017-20462,757,1st,2015-2016
2017-20440,91,2nd,2017-2018
2017-20998,1203,1st,2017-2018
2017-20820,1466,2nd,2014-2015
2017-20422,1022,1st,2017-2018
2017-20145,1246,1st,2017-2018
2017-20317,983,1st,2015-2016
2017-20108,633,1st,2015-2016
2017-20109,1785,1st,2014-2015
2017-20049,1912,2nd,2014-2015
2017-20081,1382,2nd,2016-2017
2017-20228,1343,1st,2014-2015
2017-20119,1399,2nd,2016-2017
2017-20999,218,2nd,2015-2016
2017-20613,420,2nd,2017-2018
2017-20398,1140,2nd,2017-2018
2017-20423,1047,1st,2016-2017
2017-20965,186,2nd,2014-2015
2017-20156,77,2nd,2015-2016
2017-20076,1958,1st,2015-2016
2017-20373,1230,1st,2017-2018
2017-20584,488,2nd,2015-2016
2017-20428,1297,1st,2016-2017
2017-20999,889,1st,2014-2015
2017-20829,705,2nd,2017-2018
2017-20632,1996,1st,2016-2017
2017-20306,443,2nd,2015-2016
2017-20914,302,1st,2017-2018
2017-20880,1766,2nd,2014-2015
2017-20001,452,1st,2015-2016
2017-20289,1324,1st,2016-2017
2017-20616,1897,1st,2015-2016
2017-20859,1584,2nd,2014-2015
2017-20193,24,1st,2016-2017
2017-20240,1411,1st,2016-2017
2017-20469,1247,2nd,2015-2016
2017-20455,1772,2nd,2015-2016
2017-20961,1839,2nd,2017-2018
2017-20427,1873,2nd,2017-2018
2017-20969,1111,1st,2017-2018
2017-20639,1955,1st,2017-2018
2017-20714,765,1st,2017-2018
2017-20358,815,1st,2016-2017
2017-20487,1408,2nd,2017-2018
2017-20266,127,1st,2015-2016
2017-20404,1347,2nd,2017-2018
2017-20086,938,2nd,2016-2017
2017-20548,1170,2nd,2015-2016
2017-20098,1091,2nd,2017-2018
2017-20155,238,2nd,2015-2016
2017-20690,547,2nd,2014-2015
2017-20206,1207,2nd,2016-2017
2017-20358,561,2nd,2015-2016
2017-20970,1886,1st,2016-2017
2017-20735,31,1st,2014-2015
2017-20669,525,2nd,2015-2016
2017-20772,1195,2nd,2017-2018
2017-20042,1675,2nd,2015-2016
2017-20234,722,2nd,2014-2015
2017-20653,1808,2nd,2015-2016
2017-20014,435,1st,2017-2018
2017-20791,1011,2nd,2015-2016
2017-20434,1106,1st,2016-2017
2017-20869,1460,2nd,2016-2017
2017-20269,1555,2nd,2017-2018
2017-20451,1841,1st,2015-2016
2017-20112,1451,1st,2014-2015
