StudNo,Description,Action,DateFiled,DateResolved
2017-10418,AWOL,Resolved,2015-08-30,2016-11-27
2017-10187,Change of Adviser,Unresolved,2014-03-24,2017-08-17
2017-10407,LOA,Resolved,2014-03-19,2016-01-20
2017-10898,Residency,Lapsed,2014-09-23,2016-07-30
2017-10800,Completion,Unresolved,2014-04-07,2016-08-31
2017-10142,Completion,Lapsed,2014-05-17,2017-02-10
2017-10267,Completion,Lapsed,2015-02-19,2016-01-08
2017-10471,Residency,Lapsed,2015-04-01,2016-03-08
2017-10426,Residency,Resolved,2015-06-05,2017-09-20
2017-10257,LOA,Lapsed,2014-10-19,2017-10-18
2017-10385,AWOL,Unresolved,2014-11-02,2017-03-26
2017-10216,Change of Plan of Study,Lapsed,2014-02-21,2017-09-16
2017-10348,AWOL,Lapsed,2014-08-30,2016-09-29
2017-10547,Change of Plan of Study,Unresolved,2014-10-28,2017-02-15
2017-10534,Residency,Resolved,2015-11-11,2016-06-21
2017-10362,Residency,Lapsed,2014-12-24,2017-06-05
2017-10756,LOA,Lapsed,2014-12-19,2016-09-15
2017-10290,Change of Adviser,Unresolved,2015-05-26,2016-03-21
2017-10491,Residency,Unresolved,2015-01-30,2017-01-26
2017-10414,Residency,Unresolved,2015-08-11,2017-07-08
2017-10163,AWOL,Lapsed,2014-06-24,2017-03-11
2017-10219,Change of Adviser,Unresolved,2014-10-03,2017-02-20
2017-10357,Change of Plan of Study,Unresolved,2014-01-17,2017-04-02
2017-10203,Change of Plan of Study,Resolved,2015-04-04,2017-04-15
2017-10872,Change of Adviser,Resolved,2014-01-30,2016-01-24
2017-10620,Residency,Resolved,2015-02-21,2017-07-02
2017-10940,Residency,Lapsed,2015-05-21,2016-10-30
2017-10838,Residency,Unresolved,2015-05-18,2017-09-11
2017-10370,Residency,Resolved,2015-07-31,2017-10-10
2017-10695,AWOL,Lapsed,2014-12-15,2017-06-14
2017-10246,Change of Adviser,Unresolved,2014-01-03,2016-12-06
2017-10830,AWOL,Lapsed,2015-10-30,2017-05-27
2017-10364,Change of Adviser,Unresolved,2015-08-22,2016-06-14
2017-10872,Change of Plan of Study,Lapsed,2015-02-14,2017-03-12
2017-10887,Residency,Unresolved,2014-03-03,2016-09-24
2017-10411,Change of Plan of Study,Lapsed,2015-05-16,2016-05-22
2017-10209,Residency,Unresolved,2015-04-06,2016-12-06
2017-10046,Completion,Unresolved,2014-12-06,2017-09-15
2017-10084,Completion,Resolved,2014-05-24,2017-02-20
2017-10706,LOA,Resolved,2015-10-02,2017-03-10
2017-10438,Residency,Lapsed,2015-03-07,2017-08-28
2017-10708,Change of Plan of Study,Unresolved,2014-04-22,2017-07-08
2017-10369,AWOL,Resolved,2015-08-28,2016-06-14
2017-10794,Completion,Lapsed,2014-07-25,2017-01-26
2017-10196,Residency,Unresolved,2015-05-25,2017-03-08
2017-10957,LOA,Resolved,2014-03-31,2016-07-29
2017-10040,Residency,Unresolved,2015-07-08,2017-07-06
2017-10516,Completion,Unresolved,2014-06-14,2017-07-15
2017-10752,LOA,Unresolved,2015-05-16,2016-11-27
2017-10337,LOA,Unresolved,2014-12-17,2017-03-14
2017-10406,LOA,Resolved,2014-09-19,2016-09-24
2017-10743,LOA,Unresolved,2015-11-02,2016-03-29
2017-10753,AWOL,Unresolved,2014-05-03,2016-04-09
2017-10480,AWOL,Resolved,2015-09-10,2016-01-01
2017-10267,AWOL,Unresolved,2014-09-18,2017-06-22
2017-10122,Change of Plan of Study,Unresolved,2015-01-18,2016-09-06
2017-10179,Completion,Unresolved,2014-08-05,2017-04-05
2017-10726,Residency,Unresolved,2015-10-06,2016-08-01
2017-10266,Completion,Unresolved,2014-11-23,2017-07-12
2017-10855,Change of Plan of Study,Lapsed,2014-12-05,2017-09-28
2017-10880,Residency,Resolved,2014-03-18,2017-04-26
2017-10925,LOA,Lapsed,2014-03-02,2017-10-07
2017-10829,AWOL,Unresolved,2014-05-21,2016-04-29
2017-10433,LOA,Lapsed,2014-12-09,2017-01-04
2017-10292,AWOL,Unresolved,2014-09-24,2017-06-27
2017-10793,LOA,Lapsed,2014-08-16,2017-01-06
2017-10091,LOA,Lapsed,2014-10-17,2017-01-31
2017-10871,Residency,Lapsed,2015-05-21,2016-10-09
2017-10960,Change of Plan of Study,Resolved,2015-08-31,2017-01-31
2017-10606,Residency,Lapsed,2015-06-08,2017-01-10
2017-10128,Change of Plan of Study,Lapsed,2014-02-03,2016-06-09
2017-10120,Completion,Resolved,2014-06-11,2017-09-05
2017-10043,Change of Plan of Study,Unresolved,2015-10-17,2017-08-17
2017-10099,Completion,Unresolved,2014-08-29,2017-10-18
2017-10557,AWOL,Unresolved,2014-02-20,2017-03-25
2017-10059,Completion,Resolved,2015-05-27,2017-10-06
2017-10865,AWOL,Lapsed,2015-06-18,2016-01-16
2017-10791,Change of Plan of Study,Resolved,2014-10-28,2016-06-08
2017-10856,Residency,Lapsed,2015-07-01,2016-05-11
2017-10347,AWOL,Unresolved,2014-10-10,2016-04-09
2017-10328,AWOL,Unresolved,2014-10-27,2017-08-08
2017-10635,AWOL,Unresolved,2014-09-29,2016-06-20
2017-10840,Completion,Unresolved,2015-05-31,2017-07-06
2017-10502,Completion,Unresolved,2014-10-03,2017-02-04
2017-10557,LOA,Resolved,2014-08-13,2016-12-17
2017-10855,Completion,Resolved,2015-07-27,2017-07-07
2017-10725,AWOL,Resolved,2014-06-25,2016-09-16
2017-10037,Residency,Resolved,2014-04-20,2017-02-15
2017-10174,LOA,Resolved,2014-01-10,2016-05-10
2017-10516,Completion,Unresolved,2015-08-21,2016-12-21
2017-10807,Residency,Lapsed,2015-01-11,2016-03-07
2017-10720,Residency,Lapsed,2015-05-03,2016-12-04
2017-10084,Completion,Unresolved,2015-09-14,2017-04-12
2017-10814,Change of Plan of Study,Lapsed,2014-05-23,2016-01-31
2017-10361,LOA,Lapsed,2014-07-28,2017-09-30
2017-10972,Change of Plan of Study,Unresolved,2014-12-19,2016-03-31
2017-10680,LOA,Unresolved,2015-05-27,2016-11-14
2017-10086,Completion,Unresolved,2014-04-18,2017-08-18
2017-10777,Residency,Resolved,2014-02-14,2016-03-21
2017-10748,Residency,Resolved,2015-08-16,2017-01-13
2017-10712,Change of Plan of Study,Lapsed,2015-10-16,2017-10-30
2017-10799,Completion,Resolved,2015-10-15,2016-09-02
2017-10014,LOA,Resolved,2015-04-17,2016-03-03
2017-10882,Change of Plan of Study,Unresolved,2015-05-01,2017-04-13
2017-10680,AWOL,Lapsed,2014-03-14,2016-03-05
2017-10210,AWOL,Resolved,2015-06-21,2016-03-10
2017-10125,AWOL,Unresolved,2015-08-02,2016-12-24
2017-10264,Change of Plan of Study,Resolved,2015-08-13,2016-09-29
2017-10080,Change of Plan of Study,Unresolved,2015-08-02,2016-01-29
2017-10004,Residency,Lapsed,2015-04-08,2017-08-27
2017-10937,AWOL,Resolved,2014-01-01,2016-08-04
2017-10609,Residency,Unresolved,2014-05-07,2017-10-10
2017-10035,Residency,Unresolved,2015-03-29,2017-04-04
2017-10954,Change of Adviser,Unresolved,2014-12-21,2017-09-05
2017-10027,LOA,Lapsed,2015-03-30,2016-08-16
2017-10425,Change of Plan of Study,Lapsed,2015-08-23,2016-10-18
2017-10388,Completion,Lapsed,2015-01-16,2017-05-05
2017-10539,Residency,Resolved,2015-08-25,2016-11-27
2017-10442,Change of Adviser,Unresolved,2015-06-04,2017-06-07
2017-10601,LOA,Resolved,2014-11-19,2017-04-24
2017-10272,Completion,Resolved,2014-08-26,2017-03-01
2017-10159,Change of Adviser,Resolved,2015-02-23,2017-06-02
2017-10427,AWOL,Lapsed,2014-02-22,2017-03-06
2017-10052,Completion,Lapsed,2014-03-30,2017-05-26
2017-10353,AWOL,Lapsed,2014-02-09,2017-03-23
2017-10983,Residency,Unresolved,2014-07-09,2016-06-13
2017-10780,Residency,Resolved,2015-02-11,2016-09-29
2017-10935,Residency,Resolved,2014-04-13,2017-05-14
2017-10673,Change of Plan of Study,Resolved,2014-01-07,2016-09-08
2017-10034,Residency,Resolved,2015-11-03,2017-04-19
2017-10245,Residency,Unresolved,2014-07-05,2016-03-30
2017-10802,Completion,Resolved,2014-03-27,2016-10-27
2017-10830,Change of Adviser,Lapsed,2014-10-22,2017-03-28
2017-10245,Change of Adviser,Lapsed,2014-05-15,2017-02-15
2017-10560,Completion,Unresolved,2014-01-12,2017-09-07
2017-10713,Change of Adviser,Unresolved,2015-01-29,2017-04-19
2017-10590,AWOL,Unresolved,2014-01-14,2016-06-13
2017-10320,Completion,Resolved,2014-09-11,2016-10-22
2017-10597,LOA,Resolved,2014-03-14,2016-09-29
2017-10584,LOA,Unresolved,2014-01-03,2016-09-22
2017-10014,AWOL,Resolved,2015-10-29,2016-01-06
2017-10130,Change of Plan of Study,Unresolved,2014-06-08,2016-08-26
2017-10594,Residency,Lapsed,2014-12-27,2016-06-15
2017-10681,Completion,Unresolved,2015-07-09,2016-01-26
2017-10763,Change of Plan of Study,Resolved,2015-10-21,2016-02-21
2017-10732,Completion,Lapsed,2015-09-14,2017-06-05
2017-10990,LOA,Lapsed,2015-08-31,2016-05-08
2017-10938,Change of Adviser,Lapsed,2014-07-18,2016-06-22
2017-10067,LOA,Lapsed,2015-05-12,2016-11-12
2017-10578,Change of Adviser,Unresolved,2014-04-03,2017-06-04
2017-10911,Completion,Resolved,2015-09-29,2017-01-20
2017-10369,Residency,Lapsed,2014-04-24,2017-10-16
2017-10450,Completion,Unresolved,2015-04-28,2016-12-22
2017-10721,Change of Adviser,Lapsed,2014-03-23,2016-09-23
2017-10084,Residency,Resolved,2015-08-13,2016-09-02
2017-10437,Completion,Unresolved,2015-04-01,2016-10-02
2017-10144,Residency,Unresolved,2014-04-24,2017-10-06
2017-10403,Change of Plan of Study,Lapsed,2015-08-09,2017-08-11
2017-10714,Change of Adviser,Lapsed,2014-03-06,2017-02-17
2017-10802,AWOL,Resolved,2015-07-26,2016-08-04
2017-10120,Change of Plan of Study,Unresolved,2014-11-19,2017-03-02
2017-10553,LOA,Lapsed,2015-06-04,2017-08-29
2017-10854,Change of Plan of Study,Unresolved,2014-04-06,2017-02-02
2017-10174,Change of Adviser,Resolved,2015-01-10,2017-05-16
2017-10096,Residency,Lapsed,2014-07-20,2016-01-31
2017-10571,Change of Plan of Study,Lapsed,2015-01-21,2016-03-03
2017-10199,LOA,Unresolved,2015-04-08,2017-01-31
2017-10178,LOA,Lapsed,2015-03-16,2017-02-10
2017-10290,Completion,Resolved,2015-10-18,2017-04-16
2017-10910,Residency,Resolved,2014-09-10,2017-06-28
2017-10186,AWOL,Lapsed,2015-02-09,2016-02-12
2017-10553,Residency,Lapsed,2015-07-02,2016-08-30
2017-10229,Residency,Unresolved,2014-02-17,2016-05-21
2017-10141,Residency,Unresolved,2015-03-12,2017-02-15
2017-10235,Completion,Unresolved,2015-01-20,2016-09-29
2017-10407,Residency,Lapsed,2015-02-09,2016-01-03
2017-10294,LOA,Unresolved,2015-03-25,2016-02-08
2017-10441,Change of Adviser,Unresolved,2015-05-06,2016-04-15
2017-10403,Change of Plan of Study,Resolved,2015-07-05,2016-10-25
2017-10210,Change of Plan of Study,Unresolved,2015-02-25,2016-03-22
2017-10240,LOA,Lapsed,2014-11-02,2016-08-11
2017-10544,Residency,Lapsed,2015-06-11,2016-04-12
2017-10914,Completion,Lapsed,2014-08-04,2017-09-09
2017-10833,Completion,Unresolved,2014-01-29,2017-08-08
2017-10500,AWOL,Lapsed,2014-04-24,2016-06-30
2017-10952,Change of Adviser,Resolved,2014-02-14,2017-03-17
2017-10129,Completion,Lapsed,2015-10-15,2016-04-27
2017-10743,Change of Plan of Study,Lapsed,2014-08-16,2016-11-02
2017-10550,LOA,Unresolved,2014-06-09,2017-08-09
2017-10976,Change of Adviser,Resolved,2014-12-29,2017-09-23
2017-10350,Change of Adviser,Lapsed,2015-03-03,2016-12-10
2017-10257,Change of Plan of Study,Unresolved,2015-09-24,2016-06-08
2017-10143,Change of Plan of Study,Lapsed,2014-11-05,2016-11-15
2017-10639,Change of Plan of Study,Lapsed,2014-08-18,2016-02-14
2017-10165,Completion,Lapsed,2014-02-16,2017-08-14
2017-10925,Change of Adviser,Unresolved,2014-03-07,2016-07-17
2017-10578,Change of Adviser,Unresolved,2015-06-20,2017-01-15
2017-10209,LOA,Unresolved,2014-03-13,2017-08-24
2017-10234,Residency,Resolved,2014-06-16,2017-06-06
2017-10461,AWOL,Resolved,2015-03-30,2017-01-31
2017-10625,LOA,Unresolved,2014-04-21,2017-02-22
2017-10880,LOA,Lapsed,2014-08-01,2017-09-27
2017-10751,LOA,Unresolved,2015-03-27,2017-08-09
2017-10700,Residency,Resolved,2015-06-13,2017-06-12
2017-10529,Change of Plan of Study,Unresolved,2014-12-14,2016-06-04
2017-10642,AWOL,Lapsed,2014-10-02,2016-02-28
2017-10338,AWOL,Unresolved,2014-02-05,2016-08-15
2017-10008,Change of Adviser,Lapsed,2015-03-01,2016-08-21
2017-10847,Change of Plan of Study,Unresolved,2014-12-11,2016-06-27
2017-10154,LOA,Lapsed,2014-12-07,2017-09-01
2017-10166,Completion,Unresolved,2014-04-27,2016-09-11
2017-10796,LOA,Lapsed,2015-05-04,2016-05-11
2017-10822,Change of Plan of Study,Unresolved,2015-02-12,2017-07-26
2017-10161,Change of Adviser,Lapsed,2015-08-24,2017-04-15
2017-10871,Completion,Lapsed,2014-03-28,2017-07-18
2017-10850,Completion,Lapsed,2015-05-06,2016-06-25
2017-10758,Completion,Lapsed,2014-04-16,2017-05-26
2017-10663,Residency,Unresolved,2014-12-27,2016-03-21
2017-10318,Residency,Unresolved,2015-08-11,2016-09-30
2017-10352,AWOL,Resolved,2014-07-15,2016-02-14
2017-10530,Residency,Lapsed,2014-03-12,2016-01-07
2017-10811,Change of Adviser,Resolved,2015-09-03,2017-05-11
2017-10826,Change of Adviser,Lapsed,2014-05-07,2016-12-23
2017-10277,LOA,Unresolved,2015-05-30,2017-10-05
2017-10985,Change of Plan of Study,Lapsed,2015-01-07,2017-06-05
2017-10630,AWOL,Unresolved,2014-01-17,2017-05-21
2017-10420,Residency,Resolved,2015-07-31,2017-04-29
2017-10998,AWOL,Lapsed,2014-10-16,2016-02-10
2017-10963,Residency,Resolved,2015-08-09,2017-05-10
2017-10428,LOA,Unresolved,2014-09-30,2017-01-27
2017-10350,LOA,Resolved,2014-12-05,2017-02-09
2017-10119,LOA,Unresolved,2014-06-23,2016-02-23
2017-10306,Change of Plan of Study,Resolved,2014-05-22,2017-05-18
2017-10042,Change of Adviser,Lapsed,2015-10-05,2016-11-09
2017-10013,Change of Adviser,Unresolved,2014-08-23,2016-05-20
2017-10348,Residency,Resolved,2015-11-14,2016-03-04
2017-10356,LOA,Lapsed,2014-07-24,2017-09-22
2017-10826,Change of Plan of Study,Lapsed,2014-09-06,2017-05-17
2017-10999,Residency,Lapsed,2015-02-24,2016-12-06
2017-10054,Change of Plan of Study,Unresolved,2015-07-27,2017-07-31
2017-10817,Change of Adviser,Resolved,2014-05-31,2017-03-13
2017-10555,Change of Adviser,Lapsed,2014-11-18,2016-08-06
2017-10673,Residency,Resolved,2014-05-15,2016-10-03
2017-10540,Change of Plan of Study,Unresolved,2014-10-26,2016-06-07
2017-10466,AWOL,Resolved,2014-02-05,2016-09-20
2017-10149,Change of Adviser,Unresolved,2015-09-12,2016-03-02
2017-10441,Change of Plan of Study,Lapsed,2015-01-29,2016-06-14
2017-10803,AWOL,Lapsed,2015-09-24,2017-04-07
2017-10380,Completion,Lapsed,2014-07-24,2016-08-28
2017-10342,Completion,Unresolved,2014-12-09,2017-03-02
2017-10336,Residency,Resolved,2015-01-02,2016-05-02
2017-10568,Completion,Unresolved,2015-06-11,2016-05-30
2017-10557,AWOL,Resolved,2015-08-09,2016-09-05
2017-10397,Residency,Lapsed,2014-01-17,2017-06-03
2017-10890,Change of Adviser,Unresolved,2015-07-11,2017-01-15
2017-10130,Change of Plan of Study,Unresolved,2014-11-13,2017-08-08
2017-10830,AWOL,Unresolved,2015-01-17,2017-05-18
2017-10307,Change of Plan of Study,Unresolved,2015-03-14,2016-02-17
2017-10449,LOA,Lapsed,2014-09-15,2016-03-19
2017-10346,Completion,Unresolved,2015-10-23,2016-10-09
2017-10956,Change of Adviser,Resolved,2014-01-09,2016-12-06
2017-10914,Change of Plan of Study,Resolved,2015-09-25,2016-10-10
2017-10472,Change of Adviser,Unresolved,2015-06-06,2017-04-22
2017-10186,Completion,Resolved,2014-07-06,2016-04-14
2017-10814,AWOL,Resolved,2014-09-30,2017-05-31
2017-10755,Change of Plan of Study,Unresolved,2015-11-12,2016-11-03
2017-10916,AWOL,Unresolved,2015-07-09,2016-11-15
2017-10681,Completion,Lapsed,2014-01-27,2017-02-02
2017-10412,Residency,Resolved,2014-01-06,2016-02-11
2017-10541,Change of Plan of Study,Resolved,2014-01-10,2017-08-29
2017-10255,Completion,Unresolved,2014-04-03,2016-10-31
2017-10904,Residency,Lapsed,2015-01-21,2017-02-03
2017-10732,Completion,Lapsed,2015-10-25,2017-05-05
2017-10285,AWOL,Unresolved,2015-03-06,2016-08-17
2017-10574,Completion,Lapsed,2015-01-07,2016-12-13
2017-10340,Completion,Unresolved,2015-07-07,2017-03-23
2017-10376,Change of Adviser,Resolved,2015-06-10,2016-11-29
2017-10199,Change of Plan of Study,Unresolved,2015-02-05,2017-02-25
2017-10277,LOA,Unresolved,2015-10-14,2017-01-26
2017-10486,Completion,Unresolved,2014-02-28,2016-09-15
2017-10320,AWOL,Lapsed,2015-04-23,2016-11-04
2017-10183,Change of Adviser,Unresolved,2015-07-24,2017-06-03
2017-10446,AWOL,Lapsed,2014-05-03,2016-07-06
2017-10971,Change of Plan of Study,Lapsed,2014-02-26,2016-06-15
2017-10968,Completion,Lapsed,2014-09-14,2016-05-06
2017-10088,Change of Adviser,Lapsed,2014-10-27,2016-04-05
2017-10279,Change of Adviser,Unresolved,2014-06-17,2017-06-20
2017-10347,Residency,Resolved,2015-06-27,2017-01-09
2017-10615,AWOL,Resolved,2014-10-17,2016-01-17
2017-10279,Completion,Lapsed,2015-05-06,2017-02-21
2017-10952,Change of Adviser,Lapsed,2014-05-31,2016-01-13
2017-10542,Completion,Unresolved,2015-06-04,2016-09-20
2017-10524,Change of Plan of Study,Unresolved,2014-05-03,2016-03-30
2017-10440,Change of Adviser,Unresolved,2014-01-19,2017-10-29
2017-10303,Change of Adviser,Lapsed,2014-05-10,2017-05-13
2017-10744,Change of Plan of Study,Resolved,2015-10-03,2016-02-17
2017-10077,Change of Plan of Study,Unresolved,2015-01-08,2017-11-08
2017-10188,LOA,Lapsed,2014-02-12,2017-04-12
2017-10666,AWOL,Resolved,2014-03-07,2016-10-17
2017-10499,LOA,Unresolved,2014-05-05,2016-02-09
2017-10133,Change of Adviser,Lapsed,2015-01-28,2016-02-15
2017-10280,Residency,Unresolved,2014-11-04,2016-04-04
2017-10019,Residency,Unresolved,2014-02-05,2017-10-07
2017-10166,Change of Plan of Study,Lapsed,2014-02-16,2017-01-23
2017-10876,Completion,Lapsed,2015-02-23,2016-01-19
2017-10441,Completion,Lapsed,2014-01-04,2017-06-30
2017-10781,Change of Plan of Study,Unresolved,2014-05-25,2017-03-18
2017-10358,Change of Plan of Study,Lapsed,2015-06-02,2016-06-07
2017-10079,Completion,Lapsed,2014-04-13,2016-10-30
2017-10568,AWOL,Resolved,2014-08-03,2017-02-01
2017-10500,AWOL,Unresolved,2015-04-12,2016-07-23
2017-10002,AWOL,Unresolved,2014-04-05,2017-06-01
2017-10560,Change of Plan of Study,Lapsed,2015-05-31,2017-08-14
2017-10449,LOA,Unresolved,2014-07-17,2016-06-09
2017-10340,Change of Plan of Study,Unresolved,2014-06-27,2017-11-14
2017-10540,Residency,Unresolved,2014-10-20,2017-04-08
2017-10951,Change of Plan of Study,Unresolved,2014-06-06,2017-10-02
2017-10781,Change of Adviser,Unresolved,2015-08-19,2016-12-14
2017-10423,Change of Adviser,Lapsed,2014-03-11,2016-05-25
2017-10582,AWOL,Unresolved,2015-11-15,2017-05-16
2017-10468,Change of Plan of Study,Lapsed,2015-10-25,2017-05-22
2017-10478,Change of Plan of Study,Resolved,2015-09-27,2016-12-08
2017-10125,Completion,Lapsed,2014-11-01,2016-01-21
2017-10207,Change of Adviser,Resolved,2014-10-27,2017-08-26
2017-10534,AWOL,Unresolved,2015-10-10,2017-01-20
2017-10928,Completion,Unresolved,2015-07-11,2016-10-22
2017-10496,Change of Adviser,Lapsed,2014-01-14,2016-03-10
2017-10149,Change of Plan of Study,Unresolved,2015-07-02,2017-11-02
2017-10768,AWOL,Lapsed,2014-03-25,2016-11-30
2017-10867,Residency,Unresolved,2015-08-24,2016-03-06
2017-10194,LOA,Lapsed,2015-04-11,2017-03-10
2017-10166,Completion,Lapsed,2014-07-08,2016-07-23
2017-10510,LOA,Unresolved,2014-03-30,2016-07-14
2017-10087,AWOL,Resolved,2015-04-23,2016-02-09
2017-10917,Change of Adviser,Unresolved,2014-02-03,2016-04-11
2017-10274,AWOL,Lapsed,2015-01-05,2016-07-29
2017-10105,Change of Plan of Study,Lapsed,2015-11-14,2016-05-19
2017-10192,Completion,Lapsed,2015-10-26,2016-05-27
2017-10601,Change of Adviser,Resolved,2015-08-08,2016-08-04
2017-10162,AWOL,Unresolved,2015-04-22,2017-02-11
2017-10260,Change of Adviser,Lapsed,2014-06-27,2017-11-02
2017-10604,Change of Plan of Study,Lapsed,2015-05-04,2016-03-10
2017-10664,Change of Adviser,Resolved,2014-10-04,2017-06-27
2017-10915,Completion,Lapsed,2014-01-27,2017-06-20
2017-10674,Change of Plan of Study,Unresolved,2015-08-15,2017-11-14
2017-10607,AWOL,Unresolved,2014-04-05,2016-05-27
2017-10545,Change of Plan of Study,Unresolved,2014-01-23,2017-07-16
2017-10409,AWOL,Unresolved,2014-03-20,2017-10-26
2017-10387,Change of Plan of Study,Lapsed,2015-09-13,2016-09-23
2017-10189,LOA,Unresolved,2014-09-20,2016-11-24
2017-10988,Change of Plan of Study,Lapsed,2015-08-31,2016-05-30
2017-10737,Completion,Lapsed,2014-02-18,2016-04-23
2017-10470,LOA,Resolved,2015-07-04,2017-07-13
2017-10403,Change of Plan of Study,Resolved,2014-06-12,2017-07-04
2017-10943,Completion,Unresolved,2015-09-21,2016-04-28
2017-10400,Completion,Unresolved,2015-01-17,2017-02-28
2017-10592,AWOL,Resolved,2015-09-14,2016-06-09
2017-10548,Completion,Resolved,2015-05-31,2017-04-13
2017-10498,Change of Adviser,Unresolved,2014-07-30,2017-10-23
2017-10820,Completion,Unresolved,2015-07-18,2016-10-30
2017-10811,Completion,Lapsed,2015-03-06,2016-02-13
2017-10958,Change of Adviser,Lapsed,2014-08-14,2016-10-26
2017-10077,Change of Adviser,Unresolved,2014-02-26,2017-09-13
2017-10946,LOA,Unresolved,2015-04-11,2016-08-05
2017-10070,AWOL,Lapsed,2014-08-01,2016-10-19
2017-10313,AWOL,Lapsed,2015-07-23,2017-10-27
2017-10326,LOA,Unresolved,2014-10-28,2017-05-09
2017-10539,Residency,Unresolved,2015-11-06,2017-04-01
2017-10695,LOA,Resolved,2015-08-28,2017-10-18
2017-10034,Completion,Lapsed,2014-11-28,2017-04-06
2017-10587,Change of Plan of Study,Lapsed,2015-05-21,2017-05-26
2017-10325,Residency,Unresolved,2014-02-02,2017-05-01
2017-10199,AWOL,Lapsed,2015-10-14,2017-02-26
2017-10215,Change of Adviser,Resolved,2014-10-09,2016-04-04
2017-10736,Change of Plan of Study,Unresolved,2014-09-01,2017-09-29
2017-10337,LOA,Lapsed,2015-08-19,2017-04-06
2017-10899,Residency,Resolved,2014-10-03,2016-05-28
2017-10913,Change of Adviser,Unresolved,2014-12-12,2016-08-30
2017-10239,Completion,Resolved,2014-02-17,2017-03-17
2017-10288,AWOL,Unresolved,2014-10-17,2016-08-12
2017-10888,Residency,Unresolved,2015-05-09,2017-05-25
